location,source,target,ID,fuzzy,context,translator_comments,developer_comments
frontend/analytics/sectors/sections/Filters.tsx:979,Type to search by geographic level...,,analysis.search_by_geographic_level_placeholder,,,,
frontend/analytics/sectors/sections/Filters.tsx:951,Type to search by hazard cluster...,,analysis.search_by_hazard_cluster_placeholder,,,,
frontend/analytics/sectors/sections/Filters.tsx:941,Type to search by hazard type...,,analysis.search_by_hazard_type_placeholder,,,,
frontend/analytics/sectors/sections/Filters.tsx:961,Type to search by specific hazard...,,analysis.search_by_specific_hazard_placeholder,,,,
frontend/analytics/sectors/sections/Filters.tsx:1024,Search for disaster events,,analysis.search_disaster_events,,,,
frontend/analytics/sectors/sections/Filters.tsx:853,Sector,,analysis.sector,,,,
routes/$lang+/analytics+/disaster-events.tsx:1355,Sector,,analysis.sector,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:461,Sector classification,,analysis.sector_classification,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:537,Sector classification,,analysis.sector_classification,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:369,Sector classification,,analysis.sector_classification,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:536,Sector classification,,analysis.sector_classification,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:462,Sector classification,,analysis.sector_classification,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:370,Sector classification,,analysis.sector_classification,,,,
frontend/analytics/sectors/sections/ImpactOnSector.tsx:259,"This dashboard shows the aggregated impact data for the selected sector, including all its subsectors.",,analysis.sector_dashboard_description,,,,Description of the sector impact dashboard. Explains that the data is aggregated for the selected sector and includes all subsectors.
frontend/analytics/sectors/sections/ImpactOnSector.tsx:214,Sector Impact Analysis,,analysis.sector_impact_analysis,,,,Title for the sector impact analysis page or section
frontend/analytics/sectors/sections/ImpactOnSector.tsx:176,Sector Impact Analysis,,analysis.sector_impact_analysis,,,,
routes/$lang+/analytics+/sectors.tsx:703,Sectors Analysis,,analysis.sectors,,,,
routes/$lang+/analytics+/hazards.tsx:451,Please select and apply filters above to view the analysis.,,analysis.select_and_apply_filters,,,,
routes/$lang+/analytics+/sectors.tsx:747,Please select and apply filters above to view the analysis.,,analysis.select_and_apply_filters,,,,
routes/$lang+/analytics+/disaster-events.tsx:637,Please select and apply filters above to view the analysis.,,analysis.select_and_apply_filters_above,,,,
frontend/analytics/hazards/sections/HazardFilters.tsx:177,Select a hazard cluster,,analysis.select_hazard_cluster,,,,
frontend/analytics/hazards/sections/HazardFilters.tsx:80,Please select a hazard type first.,,analysis.select_hazard_type_first,,,,
routes/$lang+/analytics+/disaster-events.tsx:1365,Select Sector,,analysis.select_sector,,,,
frontend/analytics/sectors/sections/Filters.tsx:872,Select Sector,,analysis.select_sector,,,,
frontend/analytics/sectors/sections/Filters.tsx:662,Please select a sector first.,,analysis.select_sector_first,,,,
routes/$lang+/analytics+/disaster-events.tsx:1386,Select Sector First,,analysis.select_sector_first,,,,
frontend/analytics/sectors/sections/Filters.tsx:912,Select Sector First,,analysis.select_sector_first,,,,
frontend/analytics/sectors/sections/ImpactByHazard.tsx:335,Please select a sector to view hazard impact data.,,analysis.select_sector_to_view_hazard_impact,,,,
frontend/analytics/sectors/sections/ImpactOnSector.tsx:304,Please select a sector to view impact data.,,analysis.select_sector_to_view_impact,,,,Instruction to the user to select a sector in order to see impact data
frontend/analytics/hazards/sections/HazardFilters.tsx:205,Select a specific hazard,,analysis.select_specific_hazard,,,,
frontend/analytics/sectors/sections/Filters.tsx:911,Select Sub Sector,,analysis.select_sub_sector,,,,
frontend/analytics/sectors/sections/Filters.tsx:960,Specific Hazard,,analysis.specific_hazard,,,,
frontend/analytics/hazards/sections/HazardFilters.tsx:192,Specific Hazard,,analysis.specific_hazard,,,,
frontend/analytics/hazards/sections/ImpactByHazard.tsx:40,Start,,analysis.start,,,,
frontend/analytics/sectors/sections/Filters.tsx:898,Sub Sector,,analysis.sub_sector,,,,
routes/$lang+/analytics+/disaster-events.tsx:1378,Sub Sector,,analysis.sub_sector,,,,
routes/$lang+/analytics+/disaster-events.tsx:1211,Total Affected,,analysis.total_affected,,,,
routes/$lang+/analytics+/disaster-events.tsx:1248,Total Damage,,analysis.total_damage,,,,
routes/$lang+/analytics+/disaster-events.tsx:349,Total Damage,,analysis.total_damage,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:263,Total Damage,,analysis.total_damage,,,,
frontend/analytics/sectors/sections/ImpactMap.tsx:59,Total Damages,,analysis.total_damages,,,,
frontend/analytics/sectors/sections/MostDamagingEvents.tsx:274,Total Damages,,analysis.total_damages,,,,
frontend/analytics/hazards/sections/DamagesAndLoses.tsx:72,Total monetary value of damages caused by hazards,,analysis.total_damages_monetary_value_tooltip,,,,Tooltip for the monetary value of total damages caused by hazards
frontend/analytics/sectors/sections/ImpactOnSector.tsx:459,Total number of disaster events that have impacted this sector,,analysis.total_disaster_events_impacting_sector,,,,Tooltip explaining that the value represents the total number of disaster events that have impacted the sector
components/CustomMap.tsx:137,Total Economic Damage,,analysis.total_economic_damage,,,,
components/CustomMap.tsx:145,Total Economic Losses,,analysis.total_economic_losses,,,,
frontend/analytics/hazards/sections/ImpactByHazard.tsx:108,Total events nationwide,,analysis.total_events_in_all_country,,,,Label for total events across the entire country – used when no geographic region is selected
routes/$lang+/analytics+/disaster-events.tsx:332,Total Losses,,analysis.total_losses,,,,
frontend/analytics/sectors/sections/MostDamagingEvents.tsx:287,Total Losses,,analysis.total_losses,,,,
frontend/analytics/sectors/sections/ImpactMap.tsx:67,Total Losses,,analysis.total_losses,,,,
frontend/analytics/hazards/sections/DamagesAndLoses.tsx:164,Total monetary value of losses caused by hazards,,analysis.total_losses_monetary_value_tooltip,,,,Tooltip explaining that the value is the total monetary value of losses caused by hazards
routes/$lang+/analytics+/disaster-events.sector.tsx:375,Total number of assets,,analysis.total_number_of_assets,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:376,Number of assets,,analysis.total_number_of_assets,,,,
frontend/analytics/hazards/sections/HumanAffects.tsx:129,Total number of deaths,,analysis.total_number_of_deaths,,,,
frontend/analytics/hazards/sections/HumanAffects.tsx:312,Total number of displaced people,,analysis.total_number_of_displaced,,,,
frontend/analytics/hazards/sections/HumanAffects.tsx:171,Total number of injured,,analysis.total_number_of_injured,,,,
frontend/analytics/hazards/sections/HumanAffects.tsx:217,Total number of missing persons,,analysis.total_number_of_missing,,,,Tooltip explaining that this is the total number of missing persons
routes/$lang+/analytics+/disaster-events.tsx:801,Total people affected,,analysis.total_people_affected,,,,
frontend/analytics/hazards/sections/HumanAffects.tsx:95,Total people affected,,analysis.total_people_affected,,,,
